,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
44,"Metagenics - UltraFlora Women's, 30 Count",196169251462.0,Other,-,4.0,232.48,232.48,$0.00,$0.00,$0.00,$45.62,$0.00,$0.00,$29.11,$16.51,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,186.86,58.12,4,0,0
45,"Lipton Iced Tea Bags, Bulk Tea, Great for Parties, 48 Gallon-Sized Tea Bags",196171228944.0,Other,-,4.0,58.59,57.66,$0.00,$0.93,$0.00,$11.86,$0.00,$0.00,$8.13,$3.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,45.8,14.65,3,0,0
46,"Frostline Vanilla Soft Serve Ice Cream Mix, 6 Pounds",196171234570.0,Other,-,4.0,82.98,82.98,$0.00,$0.00,$0.00,$16.99,$0.00,$0.00,$10.85,$1.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,65.99,20.75,1,3,0
47,Garden of Life - RAW Probiotics Men - 90 Vegetarian Capsules,196174565527.0,Other,-,4.0,290.54,290.54,$0.00,$0.00,$0.00,$56.96,$0.00,$0.00,$37.17,$18.48,$0.00,$0.00,$0.00,$1.31,$0.00,$0.00,$0.00,$0.00,233.58,72.64,3,0,0
48,"Frank's RedHot Original Hot Sauce, 12 fl oz",196183737604.0,Other,-,4.0,35.24,35.24,$0.00,$0.00,$0.00,$8.00,$0.00,$0.00,$4.65,$3.35,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,27.24,8.81,4,0,0
49,"Libby's Chicken Vienna Sausage in Chicken Broth, Canned Sausage, 4.6 OZ",196183778722.0,Other,-,4.0,22.28,22.28,$0.00,$0.00,$0.00,$5.17,$0.00,$0.00,$3.05,$2.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.11,5.57,4,0,0
50,"Maruchan Ramen Creamy Chicken Flavor, 3 Oz, Pack of 24",196186700212.0,Other,-,4.0,55.13,51.64,$0.00,$3.49,$0.00,$34.81,$0.00,$0.00,$7.21,$4.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$22.64,16.83,13.78,4,0,0
51,"Canada Dry Ginger Ale Soda, 12 fl oz cans (Pack of 12)",196186721049.0,Other,-,4.0,60.16,56.12,$0.00,$4.04,$0.00,$14.13,$0.00,$0.00,$8.64,$5.41,$0.00,$0.00,$0.08,$0.00,$0.00,$0.00,$0.00,$0.00,41.99,15.04,4,0,0
52,"Diamond Naturals Dog Food, Beef & Rice Formula, 40lb Bag",196187682560.0,Other,-,4.0,277.24,258.09,$0.00,$19.15,$0.00,$47.73,$0.00,$0.00,$35.44,$12.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,210.36,69.31,2,0,0
53,"OLD WISCONSIN Beef Sticks, High Protein, Gluten Free, 24 oz Jar",196187685349.0,Other,-,4.0,101.04,101.04,$0.00,$0.00,$0.00,$20.20,$0.00,$0.00,$13.38,$6.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,80.84,25.26,3,0,0
