ï»¿,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimers,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This is an analytics report and currently we support downloading top 8000 listings by sold quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ Any fees charged or credits applied to these listings outside this time range are not included in this report.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ You had $323.83 of account level fees during this time period. Here is the breakdown of these fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription fees = $323.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
"â¢ For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report for Jan 1, 2024 to Sep 29, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
Garden of Life Vegan Protein Powder - Raw Organic Meal Replacement Shake - Vanil,196286115926,Other,-,5,$214.81,$214.81,$0.00,$0.00,$0.00,$43.02,$0.00,$0.00,$27.33,$15.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$171.79,$42.96,4,1,0
"NeoCell Liquid Collagen Supplement, Pomegranate, 16 oz.",196287026418,Other,-,5,$150.00,$150.00,$0.00,$0.00,$0.00,$32.43,$0.00,$0.00,$18.93,$13.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$117.57,$30.00,5,0,5
"Ray-Ban Meta - Wayfarer (Standard) Smart Glasses - Shiny Black, Clear",196119576445,Other,-,4,"$1,248.08","$1,189.98",$0.00,$58.10,$0.00,$280.71,$0.00,$0.00,$305.76,$103.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$128.46,$0.00,$909.27,$312.02,4,0,1
"McCormick Maple Extract with Other Natural Flavors, 2 fl oz",196125824128,Other,-,4,$37.72,$37.40,$0.00,$0.32,$0.00,$6.69,$0.00,$0.00,$5.56,$1.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.71,$9.43,4,2,0
Ghirardelli Premium Assortment Chocolate Squares - 15.77oz bag,196125827137,Other,-,4,$77.76,$72.00,$0.00,$5.76,$0.00,$13.40,$0.00,$0.00,$9.90,$3.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$58.60,$19.44,4,4,0
"Mt. Olive Pickle Juice 100% Kosher Dill Pickle Brine, 64 Ounce Bottle",196133079043,Other,-,4,$88.19,$88.19,$0.00,$0.00,$0.00,$19.63,$0.00,$0.00,$12.20,$7.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$68.56,$22.05,4,1,0
"Nature's Path Organic Oats, Old Fashioned Oats, 18 Oz Canister",196167793819,Other,-,4,$40.42,$40.19,$0.00,$0.23,$0.00,$8.76,$0.00,$0.00,$5.89,$2.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$31.43,$10.11,4,3,0
"Nature Valley Protein Granola Bars, Peanut Butter Dark Chocolate, 15 ct",196169201410,Other,-,4,$60.00,$60.00,$0.00,$0.00,$0.00,$13.11,$0.00,$0.00,$7.71,$5.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$46.89,$15.00,4,4,0
Windex Vinegar Multi-Surface Cleaner 26 Ounce,196169214889,Other,-,4,$0.00,$0.00,$0.00,$0.00,$0.00,$22.76,$0.00,$0.00,$14.56,$8.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$22.76,$0.00,4,0,0
"Metagenics - UltraFlora Women's, 30 Count",196169251462,Other,-,4,$232.48,$232.48,$0.00,$0.00,$0.00,$45.62,$0.00,$0.00,$29.11,$16.51,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$186.86,$58.12,4,0,0
"Lipton Iced Tea Bags, Bulk Tea, Great for Parties, 48 Gallon-Sized Tea Bags",196171228944,Other,-,4,$58.59,$57.66,$0.00,$0.93,$0.00,$11.86,$0.00,$0.00,$8.13,$3.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$45.80,$14.65,3,0,0
"Frostline Vanilla Soft Serve Ice Cream Mix, 6 Pounds",196171234570,Other,-,4,$82.98,$82.98,$0.00,$0.00,$0.00,$16.99,$0.00,$0.00,$10.85,$1.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,$65.99,$20.75,1,3,0
Garden of Life - RAW Probiotics Men - 90 Vegetarian Capsules,196174565527,Other,-,4,$290.54,$290.54,$0.00,$0.00,$0.00,$56.96,$0.00,$0.00,$37.17,$18.48,$0.00,$0.00,$0.00,$1.31,$0.00,$0.00,$0.00,$0.00,$233.58,$72.64,3,0,0
"Frank's RedHot Original Hot Sauce, 12 fl oz",196183737604,Other,-,4,$35.24,$35.24,$0.00,$0.00,$0.00,$8.00,$0.00,$0.00,$4.65,$3.35,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$27.24,$8.81,4,0,0
"Libby's Chicken Vienna Sausage in Chicken Broth, Canned Sausage, 4.6 OZ",196183778722,Other,-,4,$22.28,$22.28,$0.00,$0.00,$0.00,$5.17,$0.00,$0.00,$3.05,$2.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.11,$5.57,4,0,0
"Maruchan Ramen Creamy Chicken Flavor, 3 Oz, Pack of 24",196186700212,Other,-,4,$55.13,$51.64,$0.00,$3.49,$0.00,$34.81,$0.00,$0.00,$7.21,$4.96,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$22.64,$16.83,$13.78,4,0,0
"Canada Dry Ginger Ale Soda, 12 fl oz cans (Pack of 12)",196186721049,Other,-,4,$60.16,$56.12,$0.00,$4.04,$0.00,$14.13,$0.00,$0.00,$8.64,$5.41,$0.00,$0.00,$0.08,$0.00,$0.00,$0.00,$0.00,$0.00,$41.99,$15.04,4,0,0
"Diamond Naturals Dog Food, Beef & Rice Formula, 40lb Bag",196187682560,Other,-,4,$277.24,$258.09,$0.00,$19.15,$0.00,$47.73,$0.00,$0.00,$35.44,$12.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$210.36,$69.31,2,0,0
"OLD WISCONSIN Beef Sticks, High Protein, Gluten Free, 24 oz Jar",196187685349,Other,-,4,$101.04,$101.04,$0.00,$0.00,$0.00,$20.20,$0.00,$0.00,$13.38,$6.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.84,$25.26,3,0,0
"Mylicon Gas Relief Drops, Dye-Free Formula, 1oz: Babies, Infants",196192382881,Other,-,4,$56.00,$56.00,$0.00,$0.00,$0.00,$12.26,$0.00,$0.00,$7.22,$5.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$43.74,$14.00,4,4,0
"Stainless Steel Pull-Out Trash Drawer for Outdoor Kitchen, 10 Gallons",196289260802,Other,-,4,$763.62,$712.00,$0.00,$51.62,$0.00,$163.44,$0.00,$0.00,$94.71,$68.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$548.56,$190.91,4,4,0
"Vitamin B2 400mg | 180 Tablets | Vegetarian | Non-GMO, Gluten Free",196116499080,Other,-,3,$59.07,$59.07,$0.00,$0.00,$0.00,$7.60,$0.00,$0.00,$7.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$51.47,$19.69,0,0,0
S.Pellegrino Sparkling Natural Mineral Water Unflavored 11.15 Fl. Oz Pack of 24,196119906328,Other,-,3,$66.00,$66.00,$0.00,$0.00,$0.00,$14.72,$0.00,$0.00,$8.45,$6.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$51.28,$22.00,3,3,0
"CRAFTSMAN Home Tool Set / Mechanics Tools Kit, 102-Piece (CMMT99448)",196124091188,Other,-,3,$487.28,$456.81,$0.00,$30.47,$0.00,$92.13,$0.00,$0.00,$61.08,$30.70,$0.00,$0.00,$0.35,$0.00,$0.00,$0.00,$0.00,$0.00,$364.68,$162.43,3,0,0
Herring Whole Fish Dog Treat 3-Oz Bag,196124120595,Other,-,3,$58.56,$54.99,$0.00,$3.57,$0.00,$7.53,$0.00,$0.00,$7.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$47.46,$19.52,0,3,0
Breath Pearls Original Freshens Breath (50 softgels),196126109488,Other,-,3,$69.28,$63.27,$0.00,$6.01,$0.00,$11.98,$0.00,$0.00,$8.86,$3.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$51.29,$23.09,3,0,0
"DenTek Comfort-Fit Dental Guards for Nighttime Teeth Grinding, 2 Count",196126111733,Other,-,3,$94.87,$88.72,$0.00,$6.15,$0.00,$19.16,$0.00,$0.00,$12.52,$6.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$69.56,$31.62,3,0,0
WILSON Volleyball,196129267450,Other,-,3,$57.96,$54.43,$0.00,$3.53,$0.00,$11.12,$0.00,$0.00,$8.06,$3.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$43.31,$19.32,2,1,0
"Signature's Dried Plums Pitted Prunes, 3.5 Pounds",196133078014,Other,-,3,$55.00,$55.00,$0.00,$0.00,$0.00,$9.88,$0.00,$0.00,$7.40,$2.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$45.12,$18.33,3,3,0
"Swanson Canned Chicken a la King With White and Dark Chicken Meat, 10.5 OZ Can",196133082497,Other,-,3,$21.64,$20.91,$0.00,$0.73,$0.00,$3.92,$0.00,$0.00,$4.48,$0.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.21,$0.00,$16.99,$7.21,3,0,0
Domino Sugar,196167758056,Other,-,3,$28.46,$28.46,$0.00,$0.00,$0.00,$7.74,$0.00,$0.00,$5.90,$1.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.72,$9.49,2,1,0
"Sharpie Permanent Markers, Fine Point, Black, 12 Count",196169212447,Other,-,3,$54.48,$51.23,$0.00,$3.25,$0.00,$11.30,$0.00,$0.00,$7.43,$3.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$39.93,$18.16,3,0,0
"Kashi GO, Breakfast Cereal, Original, Excellent Source of Fiber, 13.1oz Box",196169229492,Other,-,3,$23.25,$23.25,$0.00,$0.00,$0.00,$10.08,$0.00,$0.00,$8.83,$0.00,$0.00,$0.00,$0.09,$0.00,$0.00,$0.00,$5.56,$6.72,$13.17,$7.75,0,0,0
